unit,trial_name,source_type,source_citation,arm,timepoint,organism,phenotype_measured,phenotype_as_labeled,relabeled,mechanism_discriminating,discrimination_method,numerator,denominator,proportion,denominator_basis,denominator_intervention_affected,description_denominator_mismatch,significance_reported,p_value,locator
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),combined,baseline,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,25,215,0.11627906976744186,colonized_participants,no,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),combined,baseline,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,25,483,0.051759834368530024,all_participants_swabbed,no,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),doxy,month6,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,11,51,0.21568627450980393,colonized_participants,no,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),doxy,month6,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,11,192,0.057291666666666664,all_participants_swabbed,no,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),doxy,month12,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,5,31,0.16129032258064516,colonized_participants,no,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),doxy,month12,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,5,111,0.04504504504504504,all_participants_swabbed,yes,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),control,month6,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,3,29,0.10344827586206896,colonized_participants,no,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),control,month6,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,3,75,0.04,all_participants_swabbed,no,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),control,month12,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,2,24,0.08333333333333333,colonized_participants,no,no,none,,Fig 4B (p. 1301)
doxypep_us,DoxyPEP,primary_trial,Luetkemeyer 2023 (NEJM Fig 4B),control,month12,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,2,51,0.0392156862745098,all_participants_swabbed,no,no,none,,Fig 4B (p. 1301)
