PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40036749","Potential Impact of Doxycycline Post-Exposure Prophylaxis on Tetracycline Resistance in Neisseria gonorrhoeae and Colonization With Tetracycline-Resistant Staphylococcus aureus and Group A Streptococcus","Soge OO, Thibault CS, Cannon CA, McLaughlin SE, Menza TW, Dombrowski JC, Fang FC, Golden MR.","Clin Infect Dis. 2025 Jul 18;80(6):1188-1196. doi: 10.1093/cid/ciaf089.","Soge OO","Clin Infect Dis","2025","2025/03/04","","","10.1093/cid/ciaf089"
"39718967","Staphylococcus aureus Tetracycline Resistance and Co-resistance in a Doxycycline Postexposure Prophylaxis-Eligible Population","Mittelstaedt R, Kanjilal S, Helekal D, Robbins GK, Grad YH.","J Infect Dis. 2025 Apr 15;231(4):e708-e712. doi: 10.1093/infdis/jiae634.","Mittelstaedt R","J Infect Dis","2025","2024/12/24","PMC11998573","","10.1093/infdis/jiae634"
"41410464","Tetracycline Resistance Among Neisseria gonorrhoeae Isolates-United States, 1987-2022","Wondmeneh S, Learner ER, Schmerer MW, Harvey A, Mauk K, Papp JR, Quilter LAS, St Cyr SB; Antimicrobial-Resistant Neisseria gonorrhoeae Working Group.","Sex Transm Dis. 2026 Apr 1;53(4):256-261. doi: 10.1097/OLQ.0000000000002280. Epub 2025 Dec 18.","Wondmeneh S","Sex Transm Dis","2026","2025/12/18","PMC13037608","NIHMS2155557","10.1097/OLQ.0000000000002280"
"40099718","Exceedingly high levels of tetracycline resistance in Neisseria gonorrhoeae in eight WHO Enhanced Gonococcal Antimicrobial Surveillance Programme countries in three WHO regions, 2021-2024-doxycycline post-exposure prophylaxis will unlikely impact gonorrhoea burdens","Schröder D, Cherdtrakulkiat T, Doanh LH, Golparian D, Heng LS, Hoffman I, Jacobsson S, Jamoralin MC Jr, Kakooza F, Kittiyaowamarn R, Kyambadde P, Maseko V, Matoga M, Müller E, Nguyen TTP, Ouk V, Setiawaty V, Sia SB, Sulaiman V, Virak M, Thuy Van NT, Wi T, Maatouk I, Unemo M; WHO EGASP tetracycline study group.","J Antimicrob Chemother. 2025 May 2;80(5):1291-1295. doi: 10.1093/jac/dkaf066.","Schröder D","J Antimicrob Chemother","2025","2025/03/18","","","10.1093/jac/dkaf066"
"40147465","Doxycycline to prevent bacterial sexually transmitted infections in the USA: final results from the DoxyPEP multicentre, open-label, randomised controlled trial and open-label extension","Luetkemeyer AF, Donnell D, Cohen SE, Dombrowski JC, Grabow C, Haser G, Brown C, Cannon C, Malinski C, Perkins R, Nasser M, Lopez C, Suchland RJ, Vittinghoff E, Buchbinder SP, Scott H, Charlebois ED, Havlir DV, Soge OO, Celum C.","Lancet Infect Dis. 2025 Aug;25(8):873-883. doi: 10.1016/S1473-3099(25)00085-4. Epub 2025 Mar 24.","Luetkemeyer AF","Lancet Infect Dis","2025","2025/03/27","","","10.1016/S1473-3099(25)00085-4"
"39374606","Effects of doxycycline post-exposure prophylaxis for prevention of sexually transmitted infections on gonorrhoea prevalence and antimicrobial resistance among men who have sex with men in the USA: a modelling study","Reichert E, Grad YH.","Lancet Microbe. 2024 Nov;5(11):100926. doi: 10.1016/S2666-5247(24)00168-X. Epub 2024 Oct 4.","Reichert E","Lancet Microbe","2024","2024/10/07","PMC11635662","NIHMS2034708","10.1016/S2666-5247(24)00168-X"
"41540930","High prevalence of tetracycline resistance in Neisseria gonorrhoeae across 22 European countries, 2024","Jacobsson S, Cole MJ, Jansen van Rensburg M, Schröder D, Mårdh O, Ködmön C, Unemo M; Euro-GASP tetracycline study group; Collaborators: Euro-GASP tetracycline study group.","Euro Surveill. 2026 Jan;31(2):2500965. doi: 10.2807/1560-7917.ES.2026.31.2.2500965.","Jacobsson S","Euro Surveill","2026","2026/01/16","PMC12811707","","10.2807/1560-7917.ES.2026.31.2.2500965"
"38517444","Investigating the cause of increased tetracycline-resistant Neisseria gonorrhoeae in England, 2016-20","Pitt-Kendall R, Sun S, Hughes S, Merrick R, Donaldson H, Rayment M, Ivanov Z, Day M, Bari A, Rebec M, Callan E, Mohammed H, Sinka K, Cole M, Fifer H.","J Antimicrob Chemother. 2024 May 2;79(5):1060-1068. doi: 10.1093/jac/dkae073.","Pitt-Kendall R","J Antimicrob Chemother","2024","2024/03/22","PMC11062939","","10.1093/jac/dkae073"
"37466467","Doxycycline post exposure prophylaxis could select for cross-resistance to other antimicrobials in various pathogens: An in silico analysis","Gestels Z, Manoharan-Basil SS, Kenyon C.","Int J STD AIDS. 2023 Nov;34(13):962-968. doi: 10.1177/09564624231190108. Epub 2023 Jul 19.","Gestels Z","Int J STD AIDS","2023","2023/07/19","","","10.1177/09564624231190108"
"41380916","Enhanced molecular surveillance for gonococcal resistance during doxycycline post-exposure prophylaxis implementation","Zhao Z, Xiu L, Peng J.","Int J Antimicrob Agents. 2026 Feb;67(2):107689. doi: 10.1016/j.ijantimicag.2025.107689. Epub 2025 Dec 9.","Zhao Z","Int J Antimicrob Agents","2026","2025/12/11","","","10.1016/j.ijantimicag.2025.107689"
