uptake,kappa,r0,N_isolates,f_required,rate_required_per100k,pct_of_males_required,multiples_of_densest_US,achievable
0.2,1.0,0.05,1000,1.300308331859504,1300308.3318595039,1300.3083318595038,482.66827463233255,False
0.2,1.0,0.05,10000,0.4111935989170121,411193.5989170121,411.1935989170121,152.63311021418414,False
0.2,1.0,0.05,100000,0.13003083318595038,130030.83318595037,130.03083318595037,48.26682746323325,False
0.2,1.0,0.1,1000,0.8949335706346624,894933.5706346623,894.9335706346623,332.1950893224433,False
0.2,1.0,0.1,10000,0.28300284377527124,283002.8437752712,283.00284377527123,105.04931097820015,False
0.2,1.0,0.1,100000,0.08949335706346623,89493.35706346622,89.49335706346622,33.219508932244324,False
0.2,1.0,0.13,1000,0.7717159830220899,771715.9830220899,771.71598302209,286.45730624427983,False
0.2,1.0,0.13,10000,0.2440380213105635,244038.02131056352,244.03802131056352,90.58575401282981,False
0.2,1.0,0.13,100000,0.077171598302209,77171.598302209,77.17159830220899,28.645730624427987,False
0.2,3.0,0.05,1000,1.300308331859504,433436.11061983457,433.43611061983455,160.88942487744416,False
0.2,3.0,0.05,10000,0.4111935989170121,137064.53297233736,137.06453297233736,50.877703404728045,False
0.2,3.0,0.05,100000,0.13003083318595038,43343.61106198345,43.34361106198345,16.088942487744415,False
0.2,3.0,0.1,1000,0.8949335706346624,298311.19021155406,298.31119021155405,110.73169644081442,False
0.2,3.0,0.1,10000,0.28300284377527124,94334.28125842374,94.33428125842374,35.01643699273338,False
0.2,3.0,0.1,100000,0.08949335706346623,29831.119021155406,29.831119021155406,11.073169644081442,False
0.2,3.0,0.13,1000,0.7717159830220899,257238.66100736326,257.23866100736325,95.48576874809326,False
0.2,3.0,0.13,10000,0.2440380213105635,81346.00710352116,81.34600710352116,30.195251337609932,False
0.2,3.0,0.13,100000,0.077171598302209,25723.86610073633,25.72386610073633,9.548576874809328,False
0.2,5.0,0.05,1000,1.300308331859504,260061.6663719008,260.0616663719008,96.53365492646651,False
