uptake,r0,kappa,N_isolates,rate_required_per100k,pct_of_all_adult_males,multiples_of_densest_US,physically_possible
0.55,0.1,0.2,1000,3254303.8932169536,3254.303893216954,1207.9821429907029,False
0.55,0.1,0.2,10000,1029101.2500918953,1029.1012500918953,381.9974944661824,False
0.55,0.1,0.2,100000,325430.3893216953,325.4303893216953,120.79821429907027,False
0.55,0.1,0.5,1000,1301721.5572867815,1301.7215572867815,483.1928571962812,False
0.55,0.1,0.5,10000,411640.50003675814,411.6405000367581,152.79899778647297,False
0.55,0.1,0.5,100000,130172.15572867815,130.17215572867815,48.31928571962812,False
0.55,0.1,1.0,1000,650860.7786433907,650.8607786433907,241.5964285981406,False
0.55,0.1,1.0,10000,205820.25001837907,205.82025001837906,76.39949889323648,False
0.55,0.1,1.0,100000,65086.07786433907,65.08607786433907,24.15964285981406,True
0.55,0.1,3.0,1000,216953.59288113023,216.95359288113022,80.53214286604685,False
0.55,0.1,3.0,10000,68606.75000612636,68.60675000612636,25.466499631078825,True
0.55,0.1,3.0,100000,21695.359288113024,21.695359288113025,8.053214286604685,True
0.55,0.1,5.0,1000,130172.15572867816,130.17215572867815,48.31928571962812,False
0.55,0.1,5.0,10000,41164.05000367582,41.16405000367582,15.279899778647296,True
0.55,0.1,5.0,100000,13017.215572867815,13.017215572867816,4.831928571962812,True
